No,Region,District,D/S Office,Date of Death,Cause of Death,Sex,Age,Age Category,Main_Cause
1,Southern,Monaragala,Katharagama,2010-01-01,Body destroyed,Male,50-55,Subadults and adults,Unknown
2,Southern,Monaragala,Thanamalvila,2010-01-07,Unknown,Male,20,Subadults and adults,Unknown
3,North Western,Anuradhapura,Unknown,2010-01-08,Electrocuted,Male,30-35,Subadults and adults,Unintentional
4,Eastern,Ampara,Thirukkovil,2010-01-12,Gunshot,Female,15-20,Subadults and adults,Intentional
5,North Western,Kurunegala,Ipalogama,2010-01-15,Accident,Male,5,Juvenile,Unintentional
6,North Western,Kurunegala,Pannala,2010-01-16,Gunshot,Male,35-40,Subadults and adults,Intentional
7,Southern,Monaragala,Thanamalvila,2010-01-20,Unknown,Male,20-25,Subadults and adults,Unknown
8,North Western,Puttalam,Puttalam,2010-01-20,Gunshot,Male,7,Juvenile,Intentional
9,Eastern,Monaragala,Madulla,2010-01-25,Gunshot,Male,20-28,Subadults and adults,Intentional
10,Southern,Monaragala,Wellawaya,2010-01-26,Unknown,Male,20-25,Subadults and adults,Unknown
11,Eastern,Ampara,Mahaoya,2010-02-03,Gunshot,Female,10-12,Juvenile,Intentional
12,Polonnaruwa,Matale,Dambulla,2010-02-03,Electrocuted,Male,35-40,Subadults and adults,Unintentional
13,Eastern,Ampara,Addalachchenai,2010-02-04,Electrocuted,Male,30-35,Subadults and adults,Unintentional
14,North Western,Kurunegala,Ehetuwewa,2010-02-10,Gunshot,Male,20,Subadults and adults,Intentional
15,Polonnaruwa,Polonnaruwa,Hingurakgoda,2010-02-11,Train Accident,Female,15,Subadults and adults,Unintentional
16,North Western,Mannar,Musali,2010-02-11,Unknown,Male,40-50,Subadults and adults,Unknown
17,Southern,Monaragala,Thanamalvila,2010-02-14,Gunshot,Unknown,35-40,Subadults and adults,Intentional
18,Eastern,Ampara,Samanthurai,2010-02-15,Gunshot,Female,6,Juvenile,Intentional
19,North Western,Anuradhapura,Thirappane,2010-02-17,Gunshot,Female,25-30,Subadults and adults,Intentional
