No,Region,District,D/S Office,Date of Death,Cause of Death,Sex,Age,Age Category
1,Southern,Monaragala,Katharagama,2010-01-01,Body destroyed,Male,50-55,Subadults and adults
2,Southern,Monaragala,Thanamalvila,2010-01-07,Unknown,Male,20,Subadults and adults
3,North Western,Anuradhapura,Unknown,2010-01-08,Electrocuted,Male,30-35,Subadults and adults
4,Eastern,Ampara,Thirukkovil,2010-01-12,Gunshot,Female,15-20,Subadults and adults
5,North Western,Kurunegala,Ipalogama,2010-01-15,Accident,Male,5,Juvenile
6,North Western,Kurunegala,Pannala,2010-01-16,Gunshot,Male,35-40,Subadults and adults
7,Southern,Monaragala,Thanamalvila,2010-01-20,Unknown,Male,20-25,Subadults and adults
8,North Western,Puttalam,Puttalam,2010-01-20,Gunshot,Male,7,Juvenile
9,Eastern,Monaragala,Madulla,2010-01-25,Gunshot,Male,20-28,Subadults and adults
10,Southern,Monaragala,Wellawaya,2010-01-26,Unknown,Male,20-25,Subadults and adults
11,Eastern,Ampara,Mahaoya,2010-02-03,Gunshot,Female,10-12,Juvenile
12,Polonnaruwa,Matale,Dambulla,2010-02-03,Electrocuted,Male,35-40,Subadults and adults
13,Eastern,Ampara,Addalachchenai,2010-02-04,Electrocuted,Male,30-35,Subadults and adults
14,North Western,Kurunegala,Ehetuwewa,2010-02-10,Gunshot,Male,20,Subadults and adults
15,Polonnaruwa,Polonnaruwa,Hingurakgoda,2010-02-11,Train Accident,Female,15,Subadults and adults
16,North Western,Mannar,Musali,2010-02-11,Unknown,Male,40-50,Subadults and adults
17,Southern,Monaragala,Thanamalvila,2010-02-14,Gunshot,Unknown,35-40,Subadults and adults
18,Eastern,Ampara,Samanthurai,2010-02-15,Gunshot,Female,6,Juvenile
19,North Western,Anuradhapura,Thirappane,2010-02-17,Gunshot,Female,25-30,Subadults and adults
20,Southern,Badulla,Hildummulla,2010-02-17,Electrocuted,Male,25-30,Subadults and adults
21,Eastern,Ampara,Samanthurai,2010-02-21,Gunshot,Male,15-20,Subadults and adults
22,North Western,Mannar,Mannar Town,2010-02-21,Accident,Male,15,Subadults and adults
23,Eastern,Ampara,Pothuvil,2010-02-24,Electrocuted,Male,35-40,Subadults and adults
24,Eastern,Ampara,Uhana,2010-02-25,Gunshot,Male,25-30,Subadults and adults
25,North Western,Anuradhapura,Maha Vilachchiya,2010-02-27,Gunshot,Female,30,Subadults and adults
26,Eastern,Ampara,Thirukkovil,2010-02-27,Injured,Male,35-40,Subadults and adults
27,Polonnaruwa,Trincomalee,Kuchchaveli,2010-03-01,Unknown,Male,25-30,Subadults and adults
28,Eastern,Ampara,Mahaoya,2010-03-01,Gunshot,Male,15-20,Subadults and adults
29,Eastern,Ampara,Lahugala,2010-03-03,Gunshot,Male,40-45,Subadults and adults
30,Polonnaruwa,Trincomalee,Kantalai,2010-03-06,Gunshot,Male,30-35,Subadults and adults
31,North Western,Unknown,Unknown,2010-03-08,Poisned,Male,25-30,Subadults and adults
32,Southern,Monaragala,Wellawaya,2010-03-09,Gunshot,Unknown,4,Calf
33,North Western,Monaragala,Unknown,2010-03-12,Unknown,Unknown,2-4,Calf
34,Eastern,Ampara,Samanthurai,2010-03-16,Electrocuted,Male,18-20,Subadults and adults
35,Polonnaruwa,Matale,Wilgamuwa,2010-03-16,Gunshot,Female,30-35,Subadults and adults
36,Polonnaruwa,Matale,Wilgamuwa,2010-03-16,Other,Unknown,1 Month,Infant
37,Southern,Hambantota,Hambantota,2010-03-17,Gunshot,Male,45,Subadults and adults
38,Southern,Monaragala,Wellawaya,2010-03-18,Gunshot,Male,25,Subadults and adults
39,Polonnaruwa,Ampara,Dehiattakandiya,2010-03-19,Gunshot,Male,12,Juvenile
40,Eastern,Batticaloa,Manmunai South and Eruvilpattu,2010-03-19,Poisned,Male,20-25,Subadults and adults
41,Southern,Badulla,Hildummulla,2010-03-20,Gunshot,Male,25-30,Subadults and adults
42,North Western,Unknown,Unknown,2010-03-21,Accident,Female,15,Subadults and adults
43,Polonnaruwa,Polonnaruwa,Hingurakgoda,2010-03-23,Train Accident,Female,35-40,Subadults and adults
44,Polonnaruwa,Ampara,Padiyathalawa,2010-03-27,Gunshot,Male,30,Subadults and adults
45,Polonnaruwa,Ampara,Padiyathalawa,2010-03-27,Gunshot,Male,20,Subadults and adults
46,Polonnaruwa,Polonnaruwa,Hingurakgoda,2010-03-28,Other,Female,4,Calf
47,Southern,Monaragala,Buttala,2010-03-29,Unknown,Male,14,Subadults and adults
48,Polonnaruwa,Trincomalee,Kantalai,2010-03-31,Gunshot,Male,30,Subadults and adults
49,Polonnaruwa,Polonnaruwa,Elahera,2010-03-31,Unknown,Male,35-40,Subadults and adults
50,North Western,Mannar,Musali,2010-03-31,Other,Female,5,Juvenile
51,North Western,Anuradhapura,Horowpothana,2010-04-03,Unknown,Male,50,Subadults and adults
